Name,latitude,longitude,family,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,25B Zero Marking of A and P Arguments,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,34A Occurrence of Nominal Plurality,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,51A Position of Case Affixes,52A Comitatives and Instrumentals,54A Distributive Numerals,55A Numeral Classifiers,58A Obligatory Possessive Inflection,59A Possessive Classification,61A Adjectives without Nouns,63A Noun Phrase Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,72A Imperative-Hortative Systems,73A The Optative,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,79A Suppletion According to Tense and Aspect,NumBlanks
Angolar,0.25,6.5,other,,,,,,,,,,,,,,,,,,,2 Binary politeness distinction,,,,,,,,,,,,,,,,4 Second person number-neutral,,,,,,38
Aguaruna,-5,-78,Jivaroan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No grammatical evidentials,,39
Anguthimri,-12.33333333,141.8333333,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,,,,,1 No grammatical evidentials,,36
Aguacatec,15.41666667,-91.33333333,Mayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Alagwa,-5.5,35.75,Afro-Asiatic,,,,,,,,,,,,2 Two,,,,,,,,,,,,,1 Absent,,,5 Marked by preceding word,,,,,,,,,,,,4 None,36
Arapaho,40,-103,Algic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Indirect only,,39
Arabic (Bani-Hassan),20,-10,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Ahtna,62,-145,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aghu,-6.166666667,140.1666667,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 'And' different from 'with',,,,,,,,,,,,39
Aikaná,-12.66666667,-60.66666667,Aikaná,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Ainu,43,143,Ainu,,,,3 4-5 categories per word,4 No marking,1 Head marking,5 Inconsistent or other,2 Non-zero marking,2 Full reduplication only,1 No case marking,3 Not syncretic,1 None,"4 All nouns, always optional",5 Inclusive/exclusive,5 Inclusive/exclusive,2 Two-way contrast,2 Different stem,6 No gender distinctions,2 Binary politeness distinction,,3 Pronouns only,9 No case affixes or adpositional clitics,2 Differentiation,6 Marked by following word,2 Optional,2 Absent,1 No possessive classification,,1 'And' different from 'with',2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,4 Second person number-neutral,4 Neither type of system,2 Inflectional optative absent,2 Overlap for either possibility or necessity,3 Direct and indirect,4 None,5
Aizi,5.25,-4.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aja,7.333333333,25.66666667,Central Sudanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,39
Ajagbe,7,1.75,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,,,,,,,39
Ajië,-21.33333333,165.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aka,2.666666667,16.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aka-Biada,11.66666667,92.5,Great Andamanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aka-Cari,13.5,93,Great Andamanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Akha,21.83333333,99.83333333,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,3 Direct and indirect,,37
Aka-Kede,12.75,92.75,Great Andamanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aklanon,11.58333333,122.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Arakanese (Marma),21.5,92.5,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Akan,6.5,-1.25,Niger-Congo,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,2 Marked by reduplication,,,,,2 'And' identical to 'with',1 Grammatical marking,4 No past tense,1 Inflectional future exists,3 Other perfect,1 Tense-aspect prefixes,2 Second singular,,,3 No overlap,,,29
Arabic (Kormakiti),35.25,33.5,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,1 Absent,,,,,,,,,,,,,,,,38
Arikara,45.5,-100.5,Caddoan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Indirect only,,39
Akawaio,6,-59.5,Cariban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Alamblak,-4.666666667,143.3333333,Sepik,1 Exclusively concatenative,5 No case,1 monoexponential TAM,6 10-11 categories per word,1 Head marking,2 Dependent marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,3 Not syncretic,2 Two,"6 All nouns, always obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,2 Two-way contrast,1 Identical,3 3rd person singular only,1 No politeness distinction,1 Identical,2 No person marking,6 Postpositional clitics,2 Differentiation,,1 Absent,2 Absent,1 No possessive classification,,1 'And' different from 'with',1 Grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,1 No grammatical evidentials,1 Tense,3
Albanian,41,20,Indo-European,,,,,,,,,,,,,,,,,,"2 3rd person only, but also non-singular",1 No politeness distinction,,2 No person marking,1 Case suffixes,1 Identity,5 Marked by preceding word,1 Absent,,,5 Marked by preceding word,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,2 Second singular,1 Maximal system,1 Inflectional optative present,2 Overlap for either possibility or necessity,2 Indirect only,,25
Allentiac,-31,-68,Huarpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Alladian,5.166666667,-4.333333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Aleut,54,-166,Eskimo-Aleut,,,,,,,,,,,,1 None,,,,,,,,,,1 Case suffixes,3 Mixed,4 Marked by suffix,,,,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,,,,,,,34
Algonquin,46,-77,Algic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Arop-Lokep,-5.383333333,147.05,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Ala'ala,-8.916666667,146.75,Austronesian,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,38
Alune,-3,128.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,3 Obligatory,,,,,,,,,5 No tense-aspect inflection,,,,,,,37
Alsea,44.66666667,-123.9166667,Oregon Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Alsatian,48.5,7.5,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Alutor,61,165,Chukotko-Kamchatkan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Inflectional optative absent,,,,39
Alawa,-15.16666667,134.25,Mangarrayi-Maran,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,1 Case suffixes,,,,2 Absent,2 Two classes,,,1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,2 Second singular,,,,1 No grammatical evidentials,,29
Alas,3.666666667,97.83333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
Alyawarra,-22.5,135,Pama-Nyungan,,,,,,,,,1 Productive full and partial reduplication,,,,"4 All nouns, always optional",,,3 Three-way contrast,1 Identical,,,,,1 Case suffixes,2 Differentiation,,,,,2 Without marking,,1 Grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,2 Tense-aspect suffixes,,,,,,,28
Amara,-5.666666667,148.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Ambulas,-3.833333333,143,Sepik,,,,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,,,,,,,,3 Three-way contrast,2 Different stem,,,,,6 Postpositional clitics,,,1 Absent,,,,,,,,,2 Tense-aspect suffixes,,,,,,,31
Amahuaca,-10.5,-72.5,Panoan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,2 Indirect only,,37
Amdo,35,100,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Direct and indirect,,39
Amele,-5.25,145.5833333,Trans-New Guinea,1 Exclusively concatenative,5 No case,1 monoexponential TAM,4 6-7 categories per word,1 Head marking,2 Dependent marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,1 None,"3 Only human nouns, obligatory",3 No inclusive/exclusive,3 No inclusive/exclusive,3 Three-way contrast,1 Identical,6 No gender distinctions,1 No politeness distinction,1 Identical,2 No person marking,9 No case affixes or adpositional clitics,2 Differentiation,1 No distributive numerals,1 Absent,2 Absent,4 More than five classes,2 Without marking,2 'And' identical to 'with',2 No grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,"2 From 'finish', 'already'",2 Tense-aspect suffixes,5 No second-person imperatives,1 Maximal system,2 Inflectional optative absent,3 No overlap,1 No grammatical evidentials,4 None,0
Amharic,10,38,Afro-Asiatic,,,,,,,,,1 Productive full and partial reduplication,,,2 Two,,,,,,1 In 3rd person + 1st and/or 2nd person,,1 Identical,3 Pronouns only,1 Case suffixes,,2 Marked by reduplication,1 Absent,2 Absent,1 No possessive classification,,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,3 Other perfect,4 Mixed type,1 Second singular and second plural,4 Neither type of system,,3 No overlap,,,21
Amis,23.33333333,121.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,1 Absent,,,,,,,,,,,,,,,,38
Amarakaeri,-12.5,-70.5,Harakmbet,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,39
Ambae (Lolovoli Northeast),-15.41666667,167.8833333,Austronesian,,,,,,,,,,,,,"2 Only human nouns, optional",,,,,,,,,9 No case affixes or adpositional clitics,,2 Marked by reduplication,1 Absent,,,4 Marked by suffix,,,,,,,,,,,,,35
Ama,-4.216666667,141.6166667,Left May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Amanab,-3.583333333,141.25,Border,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Amo,10.33333333,8.666666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Tense-aspect prefixes,,,,,,,39
Arrernte (Mparntwe),-24,136,Pama-Nyungan,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,3 4-5 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,1 Productive full and partial reduplication,,,,"4 All nouns, always optional",,,3 Three-way contrast,1 Identical,,,,,6 Postpositional clitics,,,,2 Absent,2 Two classes,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,,,,,,,23
Ambai,-1.833333333,136.5,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,39
Arabic (Moroccan),34,-6,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,1 Absent,,,2 Without marking,,,,,,4 Mixed type,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,2 Overlap for either possibility or necessity,,4 None,31
Arabic (Modern Standard),25,42,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,39
Amdo (Themchen),38,98,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Amuesha,-10.5,-75.41666667,Arawakan,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,2 No person marking,,,,,,,,,,,,,,,,,,2 Indirect only,,37
Anamuxra,-4.666666667,145,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Amuzgo,16.83333333,-98,Oto-Manguean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Araona,-12.33333333,-67.75,Tacanan,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,,,,,,,3 Core and non-core,1 No subject person/number marking,,,5 Inclusive/exclusive,1 No person marking,,,6 No gender distinctions,,,2 No person marking,1 Case suffixes,,,,,,,,2 No grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,3 No overlap,2 Indirect only,4 None,19
Angas,9.5,9.5,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,38
Anêm,-5.583333333,149.0833333,Anêm,,,,,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,,,,,,,,,,3 3rd person singular only,,,3 Pronouns only,,,,,2 Absent,4 More than five classes,,,,,,,,,,,,,,32
Anggor,-3.75,141.1666667,Senagi,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,38
//Ani,-18.91666667,21.91666667,Khoe-Kwadi,,,,,,,,,,,,,,,,3 Three-way contrast,,1 In 3rd person + 1st and/or 2nd person,,,2 No person marking,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,36
Anejom,-20.2,169.8,Austronesian,,,,,,,,,,,,,,,,,,6 No gender distinctions,,,3 Pronouns only,9 No case affixes or adpositional clitics,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,36
Arabic (North Levantine Spoken),33.75,36,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,1 Maximal system,,,,,38
Anindilyakwa,-14,136.5,Gunwinyguan,,,,,,,,,,,,,,,,,,,,,,8 Inpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Anong,27.33333333,98.75,Sino-Tibetan,,,,,,,,,,,,,"2 Only human nouns, optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Angaatiha,-7.216666667,146.25,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Anufo,10.08333333,0.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,5 No second-person imperatives,2 Minimal system,,,,,36
Andi,42.75,46.25,Nakh-Daghestanian,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
